n,beam_width,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
40,1,1.1111111111111112,2.484519974999766,83.33333333333334,0.005729166666666666,6.666666666666667
40,2,0.4444444444444445,1.6629588385661962,93.33333333333333,0.005729166666666666,6.666666666666667
40,3,0.6666666666666666,1.9999999999999998,90.0,0.008333333333333333,6.666666666666667
40,5,0.4444444444444445,1.6629588385661962,93.33333333333333,0.009375,6.666666666666667
40,10,0.22222222222222224,1.196703290474334,96.66666666666667,0.013020833333333334,6.666666666666667
40,25,0.0,0.0,100.0,0.028125,0.0
40,35,0.0,0.0,100.0,0.03333333333333333,0.0
40,40,0.0,0.0,100.0,0.04114583333333333,0.0
40,50,0.0,0.0,100.0,0.04479166666666667,0.0
40,60,0.0,0.0,100.0,0.050520833333333334,0.0
40,75,0.0,0.0,100.0,0.06666666666666667,0.0
40,85,0.0,0.0,100.0,0.0671875,0.0
40,100,0.0,0.0,100.0,0.08229166666666667,0.0
40,110,0.0,0.0,100.0,0.09895833333333333,0.0
40,125,0.0,0.0,100.0,0.10260416666666666,0.0
40,150,0.0,0.0,100.0,0.11666666666666667,0.0
40,175,0.0,0.0,100.0,0.13958333333333334,0.0
40,200,0.0,0.0,100.0,0.16041666666666668,0.0
40,225,0.0,0.0,100.0,0.1765625,0.0
40,250,0.0,0.0,100.0,0.18541666666666667,0.0
40,275,0.0,0.0,100.0,0.209375,0.0
40,300,0.0,0.0,100.0,0.21770833333333334,0.0
60,1,1.2698412698412695,2.1057935176859686,73.33333333333333,0.015625,4.761904761904762
60,2,0.7936507936507937,1.774657124999833,83.33333333333334,0.0140625,4.761904761904762
60,3,0.31746031746031744,1.187827741832997,93.33333333333333,0.018229166666666668,4.761904761904762
60,5,0.31746031746031744,1.187827741832997,93.33333333333333,0.022395833333333334,4.761904761904762
60,10,0.0,0.0,100.0,0.029166666666666667,0.0
60,25,0.0,0.0,100.0,0.05520833333333333,0.0
60,35,0.0,0.0,100.0,0.07083333333333333,0.0
60,40,0.0,0.0,100.0,0.07395833333333333,0.0
60,50,0.0,0.0,100.0,0.09010416666666667,0.0
60,60,0.0,0.0,100.0,0.1,0.0
60,75,0.0,0.0,100.0,0.12916666666666668,0.0
60,85,0.0,0.0,100.0,0.14375,0.0
60,100,0.0,0.0,100.0,0.159375,0.0
60,110,0.0,0.0,100.0,0.1765625,0.0
60,125,0.0,0.0,100.0,0.19114583333333332,0.0
60,150,0.0,0.0,100.0,0.22239583333333332,0.0
60,175,0.0,0.0,100.0,0.27760416666666665,0.0
60,200,0.0,0.0,100.0,0.29739583333333336,0.0
60,225,0.0,0.0,100.0,0.3380208333333333,0.0
60,250,0.0,0.0,100.0,0.36302083333333335,0.0
60,275,0.0,0.0,100.0,0.4114583333333333,0.0
60,300,0.0,0.0,100.0,0.42239583333333336,0.0
85,1,4.537037037037036,2.911886146947479,16.666666666666664,0.03229166666666667,11.11111111111111
85,2,2.6851851851851842,2.729519069071051,36.666666666666664,0.0484375,11.11111111111111
85,3,1.8518518518518519,1.942238607722503,46.666666666666664,0.04791666666666667,5.555555555555555
85,5,1.3888888888888888,1.7198310760191398,56.666666666666664,0.05520833333333333,5.555555555555555
85,10,1.2962962962962963,1.7173367584251302,60.0,0.06510416666666667,5.555555555555555
85,25,0.8333333333333334,1.2729376930432887,70.0,0.11510416666666666,2.7777777777777777
