n,beam_width,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
150,75,1.2121212121212122,1.6781058308925407,60.0,8.263541666666667,4.545454545454546
150,85,1.2626262626262628,1.7089822541099629,60.0,10.0734375,4.545454545454546
150,100,1.0101010101010102,1.5810581659089422,66.66666666666666,12.945833333333333,4.545454545454546
150,110,1.2626262626262628,1.9198563443180015,63.33333333333333,15.075,6.0606060606060606
150,125,0.6060606060606061,1.2736889103958073,80.0,18.728645833333335,4.545454545454546
150,150,0.5050505050505051,1.1951676329494174,83.33333333333334,25.273958333333333,4.545454545454546
150,175,0.45454545454545453,0.970170339004977,80.0,32.95364583333333,3.0303030303030303
150,200,0.5555555555555556,1.0701828333543983,76.66666666666667,41.711979166666666,3.0303030303030303
150,225,0.5555555555555555,1.2047333779673295,80.0,51.4859375,4.545454545454546
150,250,0.7070707070707071,1.4497676863037703,80.0,62.39479166666667,4.545454545454546
150,275,0.2525252525252525,0.7905290829544711,90.0,74.39270833333333,3.0303030303030303
150,300,0.10101010101010101,0.37794519058322645,93.33333333333333,87.109375,1.5151515151515151
175,1,6.923076923076923,3.9251153857111225,16.666666666666664,0.2296875,14.102564102564102
175,2,5.598290598290599,3.737545368219868,23.333333333333332,0.30052083333333335,12.820512820512821
175,3,4.914529914529914,3.2616105817251597,26.666666666666668,0.35052083333333334,8.974358974358974
175,5,4.102564102564103,3.0590649860125265,30.0,0.4375,7.6923076923076925
175,10,3.760683760683761,2.9963330158902743,36.666666666666664,0.9140625,7.6923076923076925
175,25,2.6923076923076925,2.696374624674762,46.666666666666664,2.440625,6.410256410256411
175,35,1.8376068376068377,2.356635158796964,56.666666666666664,3.668229166666667,6.410256410256411
175,40,1.965811965811966,2.6838151227534324,63.33333333333333,4.436979166666666,6.410256410256411
175,50,1.2393162393162394,1.999433771844374,66.66666666666666,6.205729166666667,6.410256410256411
175,60,1.3675213675213675,2.24348799118063,66.66666666666666,7.95625,7.6923076923076925
175,75,0.982905982905983,2.2127510198289952,83.33333333333334,11.166666666666666,6.410256410256411
175,85,0.5555555555555556,1.5414263928949945,86.66666666666667,13.614583333333334,6.410256410256411
175,100,0.9401709401709403,1.899667587255801,76.66666666666667,17.675520833333334,6.410256410256411
175,110,1.2393162393162394,2.0535066285015326,70.0,20.726041666666667,6.410256410256411
175,125,0.8119658119658121,1.7353795302775177,80.0,25.222916666666666,5.128205128205129
175,150,1.1111111111111112,1.9787755389385002,73.33333333333333,33.90677083333333,5.128205128205129
175,175,0.7264957264957265,1.70993581399509,83.33333333333334,45.31302083333333,6.410256410256411
175,200,0.8547008547008548,1.666118691420336,76.66666666666667,59.583333333333336,5.128205128205129
175,225,0.7692307692307694,1.73905897003212,83.33333333333334,72.47135416666667,5.128205128205129
175,250,0.3846153846153847,1.288445592451396,90.0,76.07447916666666,5.128205128205129
175,275,0.042735042735042736,0.23013524816814124,96.66666666666667,90.6140625,1.2820512820512822
175,300,0.2136752136752137,0.8164518450659316,93.33333333333333,106.76145833333334,3.8461538461538463
200,1,8.13186813186813,3.695097498291133,10.0,0.2994791666666667,14.285714285714286
200,2,5.4212454212454215,3.9206119150944034,30.0,0.38177083333333334,10.989010989010989
200,3,5.091575091575092,3.5265804371411584,26.666666666666668,0.42239583333333336,9.89010989010989
200,5,4.395604395604396,3.184917966195481,26.666666666666668,0.5442708333333334,8.791208791208792
200,10,3.7362637362637368,3.5393032466464946,43.333333333333336,1.1078125,9.89010989010989
200,25,2.1245421245421245,2.8221773310268454,60.0,2.926041666666667,7.6923076923076925
200,35,1.4652014652014649,2.57454701696785,70.0,4.365104166666667,7.6923076923076925
200,40,1.6117216117216118,2.7616229780176944,73.33333333333333,5.3109375,8.791208791208792
200,50,1.3186813186813187,2.6677130338510073,80.0,7.4125,7.6923076923076925
200,60,1.9780219780219779,2.9947155217538017,66.66666666666666,10.025520833333333,7.6923076923076925
200,75,1.0256410256410255,2.321315680257122,80.0,13.284895833333334,8.791208791208792
200,85,1.3553113553113552,2.5643641938735735,76.66666666666667,16.053125,7.6923076923076925
200,100,1.3919413919413919,2.552564306254116,76.66666666666667,21.81875,6.593406593406593
200,110,1.1355311355311355,2.3134992929872715,80.0,23.896354166666665,7.6923076923076925
200,125,0.9157509157509158,2.0672455764868074,83.33333333333334,29.772916666666667,6.593406593406593
200,150,1.0622710622710623,2.1698466255853313,80.0,40.25364583333333,6.593406593406593
200,175,0.5860805860805861,1.765856526475304,90.0,52.85625,6.593406593406593
200,200,0.3663003663003663,1.3996317343987401,93.33333333333333,65.946875,6.593406593406593
200,225,0.0,0.0,100.0,86.17447916666667,0.0
200,250,0.14652014652014653,0.7890351365764843,96.66666666666667,131.5640625,4.395604395604396
200,275,0.18315018315018314,0.986293920720605,96.66666666666667,150.94427083333332,5.4945054945054945
200,300,0.5494505494505494,1.6483516483516483,90.0,131.57552083333334,5.4945054945054945
250,1,9.714285714285715,2.285714285714286,0.0,0.4875,14.285714285714286
250,2,7.80952380952381,3.4373784593369305,13.333333333333334,0.5854166666666667,12.380952380952381
250,3,6.984126984126985,3.3386201460660083,13.333333333333334,0.665625,12.380952380952381
250,5,6.063492063492062,2.9761798941610818,13.333333333333334,0.80625,9.523809523809524
250,10,5.492063492063492,3.492207789226507,26.666666666666668,1.6895833333333334,9.523809523809524
250,25,4.857142857142857,3.480645112706075,30.0,4.3375,9.523809523809524
250,35,4.190476190476191,3.3948963518209143,36.666666666666664,6.332291666666666,8.571428571428571
250,40,3.5555555555555562,3.4857085031900454,43.333333333333336,7.646354166666667,8.571428571428571
250,50,3.5873015873015874,3.5437729942135845,46.666666666666664,10.558333333333334,8.571428571428571
250,60,3.555555555555556,3.5459052712236705,46.666666666666664,13.517708333333333,8.571428571428571
250,75,2.6666666666666665,3.3028080771149084,60.0,18.673958333333335,7.619047619047619
250,85,2.8888888888888884,3.1633132580342926,50.0,22.9875,8.571428571428571
250,100,1.5555555555555556,2.88330176626274,76.66666666666667,29.29375,8.571428571428571
250,110,2.317460317460317,3.03851152378452,60.0,33.85989583333333,7.619047619047619
250,125,1.5238095238095235,2.733847637029967,73.33333333333333,40.711979166666666,7.619047619047619
250,150,0.8571428571428571,1.9726014454483791,80.0,65.98229166666667,7.619047619047619
250,175,0.9206349206349207,2.2735567326722386,83.33333333333334,89.40572916666666,7.619047619047619
250,200,0.6031746031746031,1.831666252285925,90.0,100.26354166666667,6.666666666666667
250,225,0.9523809523809524,2.157796249900499,83.33333333333334,113.74322916666667,6.666666666666667
250,250,0.25396825396825395,1.3676609033992388,96.66666666666667,136.43229166666666,7.619047619047619
250,275,0.1904761904761905,1.0257456775494291,96.66666666666667,161.7234375,5.714285714285714
250,300,0.22222222222222224,1.196703290474334,96.66666666666667,188.65520833333332,6.666666666666667
300,1,8.259803921568626,5.142446579625145,23.333333333333332,0.775,15.441176470588236
300,2,5.710784313725491,5.422209035679568,46.666666666666664,0.9244791666666666,13.235294117647058
300,3,5.3921568627450975,4.8933748336491965,43.333333333333336,1.0421875,12.5
300,5,5.0,5.053063296020256,50.0,1.2901041666666666,11.764705882352942
300,10,3.6029411764705888,4.522108639929653,60.0,2.5536458333333334,11.029411764705882
300,25,1.4950980392156865,3.3614193064746907,83.33333333333334,6.613020833333334,10.294117647058824
300,35,1.6911764705882353,3.428657889762236,80.0,9.571875,11.029411764705882
300,40,1.2009803921568627,3.0992063140437818,86.66666666666667,11.4984375,11.029411764705882
300,50,1.0784313725490196,2.756018195464823,86.66666666666667,15.911979166666667,8.823529411764707
300,60,0.5882352941176471,2.2009749333964366,93.33333333333333,20.052604166666665,8.823529411764707
300,75,0.7598039215686274,2.297785947697894,90.0,27.575520833333332,8.823529411764707
300,85,0.5882352941176471,2.2091479096556372,93.33333333333333,33.5953125,9.558823529411764
300,100,0.29411764705882354,1.5838720020983832,96.66666666666667,42.764583333333334,8.823529411764707
300,110,0.8088235294117647,2.4338864691820277,90.0,49.41979166666667,8.823529411764707
300,125,1.2990196078431373,2.9146062915390423,83.33333333333334,61.13125,8.823529411764707
300,150,0.5637254901960785,2.111402603360958,93.33333333333333,81.546875,8.823529411764707
300,175,0.7843137254901962,2.3554928973988165,90.0,105.734375,8.088235294117647
300,200,0.0,0.0,100.0,136.3453125,0.0
300,225,0.29411764705882354,1.5838720020983832,96.66666666666667,159.6984375,8.823529411764707
300,250,0.0,0.0,100.0,195.95520833333333,0.0
300,275,0.0,0.0,100.0,225.45052083333334,0.0
300,300,0.0,0.0,100.0,260.66979166666664,0.0
400,1,9.385964912280702,6.40591158956483,30.0,1.5322916666666666,16.842105263157894
400,2,5.280701754385965,6.0826613297104135,56.666666666666664,1.8364583333333333,14.210526315789474
400,3,5.736842105263157,6.236860611416767,53.333333333333336,2.0322916666666666,14.736842105263158
400,5,5.105263157894736,5.883055468341484,56.666666666666664,2.3958333333333335,13.68421052631579
400,10,3.912280701754386,5.253822129488011,63.33333333333333,4.840625,13.157894736842104
400,25,2.3333333333333335,4.6832905332179395,80.0,12.019270833333334,13.157894736842104
