inst_type,n,density,instance_id,beam_width,optimal,fn_dp_obj,fn_final_obj,fn_time_dp,fn_time_ls,fn_time_total,fn_ls_iters,fl_dp_obj,fl_final_obj,fl_time_dp,fl_time_ls,fl_time_total,fl_ls_iters,fl_unique_optima
Hidden_Clique,40,0.0,19,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.078125,0.0,0.078125,2.35,18.0
Hidden_Clique,40,0.0,20,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.15625,0.0,0.15625,1.8,17.0
Hidden_Clique,40,0.0,21,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.0,20.0
Hidden_Clique,40,0.0,22,20,30.0,30.0,30.0,0.0625,0.015625,0.078125,6.0,30.0,30.0,0.0625,0.0,0.0625,2.15,18.0
Hidden_Clique,40,0.0,23,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.1,20.0
Hidden_Clique,40,0.0,24,20,30.0,30.0,30.0,0.0625,0.015625,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.15,20.0
Hidden_Clique,40,0.0,25,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.25,20.0
Hidden_Clique,40,0.0,26,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.078125,0.0,0.078125,2.25,20.0
Hidden_Clique,40,0.0,27,20,30.0,30.0,30.0,0.09375,0.0,0.09375,6.0,30.0,30.0,0.078125,0.0,0.078125,1.9,20.0
Hidden_Clique,40,0.0,28,20,30.0,30.0,30.0,0.078125,0.015625,0.09375,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.15,17.0
Hidden_Clique,40,0.0,29,20,30.0,30.0,30.0,0.078125,0.0,0.078125,6.0,30.0,30.0,0.0625,0.015625,0.078125,2.25,18.0
Hidden_Clique,50,0.0,0,26,42.0,42.0,42.0,0.171875,0.0,0.171875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.923076923076923,21.0
Hidden_Clique,50,0.0,1,26,42.0,42.0,42.0,0.1875,0.015625,0.203125,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.3461538461538463,24.0
Hidden_Clique,50,0.0,2,26,42.0,42.0,42.0,0.1875,0.015625,0.203125,7.0,42.0,42.0,0.25,0.03125,0.28125,2.5384615384615383,23.0
Hidden_Clique,50,0.0,3,26,42.0,42.0,42.0,0.21875,0.015625,0.234375,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.8076923076923075,23.0
Hidden_Clique,50,0.0,4,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,40.0,42.0,0.15625,0.015625,0.171875,2.576923076923077,26.0
Hidden_Clique,50,0.0,5,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.923076923076923,20.0
Hidden_Clique,50,0.0,6,26,42.0,42.0,42.0,0.171875,0.0,0.171875,7.0,42.0,42.0,0.140625,0.015625,0.15625,2.6923076923076925,18.0
Hidden_Clique,50,0.0,7,26,42.0,42.0,42.0,0.171875,0.0,0.171875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.5384615384615383,22.0
Hidden_Clique,50,0.0,8,26,42.0,42.0,42.0,0.15625,0.015625,0.171875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.5384615384615383,21.0
Hidden_Clique,50,0.0,9,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.140625,0.015625,0.15625,2.576923076923077,20.0
Hidden_Clique,50,0.0,10,26,42.0,42.0,42.0,0.1875,0.0,0.1875,7.0,42.0,42.0,0.171875,0.0,0.171875,2.423076923076923,25.0
Hidden_Clique,50,0.0,11,26,42.0,42.0,42.0,0.1875,0.015625,0.203125,7.0,42.0,42.0,0.15625,0.015625,0.171875,1.8846153846153848,26.0
Hidden_Clique,50,0.0,12,26,42.0,42.0,42.0,0.1875,0.0,0.1875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.6153846153846154,21.0
Hidden_Clique,50,0.0,13,26,42.0,42.0,42.0,0.1875,0.0,0.1875,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.8076923076923075,19.0
Hidden_Clique,50,0.0,14,26,42.0,42.0,42.0,0.1875,0.015625,0.203125,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.6153846153846154,22.0
Hidden_Clique,50,0.0,15,26,42.0,40.0,40.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.5384615384615383,17.0
Hidden_Clique,50,0.0,16,26,42.0,42.0,42.0,0.203125,0.015625,0.21875,7.0,42.0,42.0,0.25,0.015625,0.265625,2.6538461538461537,20.0
Hidden_Clique,50,0.0,17,26,42.0,42.0,42.0,0.203125,0.015625,0.21875,7.0,42.0,42.0,0.1875,0.015625,0.203125,2.3846153846153846,25.0
Hidden_Clique,50,0.0,18,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.9615384615384617,18.0
Hidden_Clique,50,0.0,19,26,42.0,42.0,42.0,0.203125,0.015625,0.21875,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.8461538461538463,23.0
Hidden_Clique,50,0.0,20,26,42.0,42.0,42.0,0.1875,0.0,0.1875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.4615384615384617,22.0
Hidden_Clique,50,0.0,21,26,42.0,42.0,42.0,0.1875,0.0,0.1875,7.0,42.0,42.0,0.15625,0.03125,0.1875,2.8461538461538463,20.0
Hidden_Clique,50,0.0,22,26,42.0,42.0,42.0,0.1875,0.015625,0.203125,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.1538461538461537,25.0
Hidden_Clique,50,0.0,23,26,42.0,42.0,42.0,0.1875,0.015625,0.203125,7.0,42.0,42.0,0.25,0.015625,0.265625,2.9615384615384617,22.0
Hidden_Clique,50,0.0,24,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.3461538461538463,26.0
Hidden_Clique,50,0.0,25,26,42.0,42.0,42.0,0.1875,0.0,0.1875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.230769230769231,26.0
Hidden_Clique,50,0.0,26,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.1875,0.015625,0.203125,2.269230769230769,23.0
Hidden_Clique,50,0.0,27,26,42.0,42.0,42.0,0.203125,0.015625,0.21875,7.0,42.0,42.0,0.171875,0.015625,0.1875,2.6923076923076925,25.0
Hidden_Clique,50,0.0,28,26,42.0,42.0,42.0,0.171875,0.015625,0.1875,7.0,42.0,42.0,0.15625,0.015625,0.171875,2.8846153846153846,16.0
Hidden_Clique,50,0.0,29,26,42.0,42.0,42.0,0.25,0.015625,0.265625,7.0,42.0,42.0,0.21875,0.03125,0.25,2.576923076923077,19.0
Hidden_Clique,60,0.0,0,33,42.0,42.0,42.0,0.296875,0.015625,0.3125,7.0,42.0,42.0,0.28125,0.015625,0.296875,2.4545454545454546,31.0
Hidden_Clique,60,0.0,1,33,42.0,42.0,42.0,0.296875,0.03125,0.328125,7.0,42.0,42.0,0.390625,0.03125,0.421875,2.515151515151515,24.0
Hidden_Clique,60,0.0,2,33,42.0,42.0,42.0,0.3125,0.015625,0.328125,7.0,42.0,42.0,0.296875,0.015625,0.3125,2.393939393939394,29.0
