n,density,beam_width,avg_objective,std_objective,avg time (s),num_instances,avg gap (%),std gap,success_rate (%),max_gap (%),instances_with_opt
100,1.0,1,281163.9,1.3572916666666666,,30
100,1.0,2,281163.9,4.3265625,,30
100,1.0,3,281163.9,6.014583333333333,,30
100,1.0,5,281166.36666666664,9.9578125,,30
100,1.0,10,281166.36666666664,21.350520833333334,,30
100,1.0,20,281166.36666666664,48.7625,,30
150,0.25,1,157332.43333333332,3.9088541666666665,,30
150,0.25,2,157332.43333333332,13.155208333333333,,30
150,0.25,3,157332.43333333332,18.125,,30
150,0.25,5,157342.16666666666,28.6265625,,30
150,0.25,10,157344.86666666667,60.584375,,30
150,0.25,20,157345.3,142.14791666666667,,30
150,0.5,1,275229.6,3.384375,,30
150,0.5,2,275229.6,11.204166666666667,,30
150,0.5,3,275229.6,15.557291666666666,,30
150,0.5,5,275241.63333333336,26.022395833333334,,30
150,0.5,10,275242.0333333333,57.41614583333333,,30
150,0.5,20,275242.0333333333,127.83333333333333,,30
150,0.75,1,459860.43333333335,3.6901041666666665,,30
150,0.75,2,459860.43333333335,12.06875,,30
150,0.75,3,459860.43333333335,16.630208333333332,,30
150,0.75,5,459862.5,27.996354166666666,,30
150,0.75,10,459862.5,59.1765625,,30
150,0.75,20,459862.5,135.934375,,30
150,1.0,1,582167.6,3.652083333333333,,30
150,1.0,2,582167.6,11.591145833333334,,30
150,1.0,3,582167.6,15.853645833333333,,30
150,1.0,5,582181.5,26.736458333333335,,30
150,1.0,10,582181.5,57.453125,,30
150,1.0,20,582182.2666666667,131.21666666666667,,30
