inst_type,n,density,beam_width,num_instances,our_avg_gain_pct,our_std_gain_pct,our_avg_time_total,our_avg_unique_optima,our_avg_ls_iters,our_success_rate,our_avg_final_gap,our_max_gap,fn_avg_gain_pct,fn_std_gain_pct,fn_avg_time_total,fn_avg_ls_iters,fn_success_rate,fn_avg_final_gap,fn_max_gap
Hidden_Clique,25,0.0,13,30,0.0,0.0,0.025,12.466666666666667,1.923076923076923,100.0,0.0,0.0,0.0,0.0,0.019270833333333334,5.0,100.0,0.0,0.0
Hidden_Clique,40,0.0,21,30,0.23809523809523808,1.3041013273932527,0.1140625,19.766666666666666,2.1206349206349207,100.0,0.0,0.0,0.0,0.0,0.08541666666666667,6.0,100.0,0.0,0.0
Hidden_Clique,50,0.0,27,30,0.16666666666666666,0.9128709291752769,0.23072916666666668,22.933333333333334,2.595061728395061,100.0,0.0,0.0,0.0,0.0,0.196875,7.0,96.66666666666667,0.15873015873015872,4.761904761904762
Hidden_Clique,60,0.0,35,30,0.0,0.0,0.4119791666666667,29.433333333333334,2.4695238095238095,100.0,0.0,0.0,0.0,0.0,0.3145833333333333,7.0,100.0,0.0,0.0
Hidden_Clique,75,0.0,49,30,0.37037037037037035,1.1301058393680172,1.1348958333333334,38.9,2.8748299319727892,100.0,0.0,0.0,0.0,0.0,0.7036458333333333,8.0,96.66666666666667,0.11904761904761905,3.5714285714285716
Hidden_Clique,85,0.0,61,30,1.434173669467787,1.6506937066110905,2.1869791666666667,47.03333333333333,3.543715846994536,100.0,0.0,0.0,0.0,0.0,1.1619791666666666,9.0,56.666666666666664,1.2037037037037035,2.7777777777777777
Hidden_Clique,90,0.0,68,30,1.1484593837535013,1.625931674581852,2.434375,51.0,3.489705882352941,93.33333333333333,0.18518518518518517,2.7777777777777777,0.09523809523809525,0.521640530957301,1.3515625,9.0,66.66666666666666,1.111111111111111,5.555555555555555
Hidden_Clique,100,0.0,82,30,2.0862277257626096,2.1582392289772416,4.652604166666666,58.53333333333333,4.182926829268292,93.33333333333333,0.14814814814814817,2.2222222222222223,0.30479210711768856,0.7904003729701774,2.2682291666666665,10.0,36.666666666666664,1.9259259259259258,4.444444444444445
Hidden_Clique,125,0.0,125,30,2.65620767470564,1.709278622633475,13.215625,85.16666666666667,4.733066666666668,66.66666666666666,0.7272727272727271,3.6363636363636362,0.5650074360766184,1.1275772982258538,4.419791666666667,11.0,36.666666666666664,2.242424242424242,5.454545454545454
Hidden_Clique,150,0.0,173,30,3.8929276980242076,2.476936163093872,31.218229166666667,111.33333333333333,5.31156069364162,83.33333333333334,0.40404040404040403,3.0303030303030303,0.2612433862433862,0.8305239958619562,8.702083333333333,12.0,36.666666666666664,2.6767676767676765,6.0606060606060606
Hidden_Clique,175,0.0,218,30,3.656180910542843,3.3090030599121576,55.934375,135.33333333333334,6.031957186544344,83.33333333333334,0.6410256410256411,5.128205128205129,0.48562061719956456,0.9555053966119249,14.619270833333333,13.0,63.33333333333333,1.4529914529914534,6.410256410256411
Hidden_Clique,200,0.0,250,30,4.119469576302136,3.4494829428430953,93.61354166666666,149.23333333333332,6.730533333333335,93.33333333333333,0.3663003663003663,5.4945054945054945,0.7194852835604872,1.1322380624373687,22.976041666666667,14.0,50.0,1.9780219780219779,7.6923076923076925
Hidden_Clique,250,0.0,246,30,5.692789313144384,3.5941466462878076,130.47864583333333,153.06666666666666,6.911653116531165,86.66666666666667,0.4761904761904762,5.714285714285714,0.19881902007432634,0.6602103626665449,47.65677083333333,15.0,50.0,2.285714285714285,7.619047619047619
Hidden_Clique,300,0.0,177,30,5.317975483126579,4.388906459445231,85.82916666666667,98.8,8.31563088512241,93.33333333333333,0.49019607843137253,8.088235294117647,0.18017484656523194,0.6956524677141928,93.3140625,17.0,86.66666666666667,0.5392156862745098,9.558823529411764
Hidden_Clique,400,0.0,98,30,8.173788513344485,4.53941408577831,50.87291666666667,56.13333333333333,9.831292517006803,96.66666666666667,0.3333333333333333,10.0,0.28645084622314226,0.7016132304903575,276.1765625,20.0,90.0,0.4385964912280702,10.0
Hidden_Clique,500,0.0,110,30,10.43497099554935,6.649289774073533,88.5703125,65.83333333333333,10.038787878787879,96.66666666666667,0.4184704184704185,12.554112554112555,0.13368398673475526,0.47210411506573474,588.1078125,22.0,80.0,0.6493506493506495,10.822510822510823
Hidden_Clique,600,0.0,132,30,9.76976308325164,6.811719631378799,163.096875,75.56666666666666,11.398232323232321,96.66666666666667,0.3864734299516908,11.594202898550725,0.1721132897603486,0.5373896545962529,1052.1244791666666,24.0,100.0,0.0,0.0
